ชื่อ,ภูมิภาค,Tier,คะแนน,Effect,Cost,หมายเหตุ,ทั้งหมด,คอลัมน์ 1
อุทยานแห่งชาติน้ำตกแม่สุรินทร์,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติผาแดง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูชี้ฟ้า,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูซาง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูสอยดาว,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูหินร่องกล้า,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่เงา,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่จริม,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ตะไคร้,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่โถ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ปิง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ปืม,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่เมย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ยม,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่วงก์,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่วะ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่วาง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่สะเรียง (เตรียมการ),ภาคเหนือ,,,,,,,
อุทยานแห่งชาติรามคำแหง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติลานสาง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติลำน้ำกก,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติลำน้ำน่าน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติเวียงโกศัย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติศรีน่าน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติศรีลานนา,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติศรีสัชนาลัย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติสาละวิน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติห้วยน้ำดัง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติออบขาน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติออบหลวง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแก่งตะนะ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติเขาพระวิหาร,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติเขาใหญ่,ภาคอีสาน,4,4 คะแนน,"E8 เก็บการ์ด +1, E3 2 → 1 Conversion","🌳, 📷, 🚗",🌳x 5 🚗x3 📷x2,,
อุทยานแห่งชาติตาดโตน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติตาพระยา,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติทับลาน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติไทรทอง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาตินายูง-น้ำโสม,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติน้ำพอง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติน้ำหนาว,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติป่าหินงาม,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติผาแต้ม,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูกระดึง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูเก้า-ภูพานคำ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูจอง-นายอย,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผาเทิบ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผาม่าน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผายล,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผาเหล็ก,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูพาน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูเรือ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูลังกา,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูแลนคา,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูเวียง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูสระดอกบัว,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูสวนทราย,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูหินจอมธาตุ - ภูพระบาท (เตรียมการฯ),ภาคอีสาน,,,,,,,
